network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
256x20_20260531_lr1e-9,230,Nimzo-Indian Defense,21,0.401284,0.075123,0.272688,0.013207,41.82967,28.684242
256x20_20260531_lr1e-9,230,Nimzo-Indian Defense: Classical Variation,10,0.490546,0.058555,0.336314,0.019322,24.648123,11.678434
256x20_20260531_lr1e-9,230,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.392212,0.06127,0.339277,0.020024,27.279212,11.632695
256x20_20260531_lr1e-9,230,Nimzo-Indian Defense: Three Knights Variation,30,0.35947,0.12417,0.326212,0.067083,154.944022,48.718731
256x20_20260531_lr1e-9,230,Petrov's Defense: Italian Variation,20,0.218958,0.095215,0.314097,0.012347,195.78688,24.594656
256x20_20260531_lr1e-9,230,Philidor Defense,51,0.279317,0.115127,0.3688,0.063277,464.82239,67.006097
256x20_20260531_lr1e-9,230,Philidor Defense: Exchange Variation,20,0.471894,0.166085,0.372259,0.040539,102.096605,23.163618
256x20_20260531_lr1e-9,230,Queen's Gambit Accepted,33,0.312067,0.135668,0.340622,0.036558,259.43402,40.516912
256x20_20260531_lr1e-9,230,Queen's Gambit Accepted: Old Variation,34,0.401022,0.138386,0.377624,0.054529,203.050834,40.351444
256x20_20260531_lr1e-9,230,Queen's Gambit Declined,38,0.403037,0.109666,0.336386,0.029532,160.384853,48.541262
256x20_20260531_lr1e-9,230,Queen's Gambit Declined: Harrwitz Attack,34,0.506974,0.068841,0.334187,0.015322,28.226321,39.44284
256x20_20260531_lr1e-9,230,Queen's Gambit Declined: Modern Variation,19,0.406214,0.099699,0.329033,0.019593,72.842957,22.827387
256x20_20260531_lr1e-9,230,Queen's Gambit Declined: Ragozin Defense,39,0.463217,0.078665,0.329671,0.017334,39.969772,46.597633
256x20_20260531_lr1e-9,230,Queen's Gambit Declined: Three Knights Variation,34,0.550595,0.056224,0.359526,0.014769,24.152677,36.819853
256x20_20260531_lr1e-9,230,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.32624,0.119173,0.303791,0.005946,61.687721,11.032204
256x20_20260531_lr1e-9,230,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.434869,0.145971,0.263161,0.008344,96.541236,19.747827
256x20_20260531_lr1e-9,230,Queen's Pawn Game: Accelerated London System,98,0.316449,0.081655,0.320097,0.018738,417.011971,120.309382
