step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
0,King's Indian Defense: Smyslov Variation,21,0.435962,0.13741,0.407008,0.054143,120.28193,22.122515
0,London System,29,0.351075,0.192312,0.341028,0.051066,252.440836,39.710726
0,"London System, with Bd3",13,0.318473,0.161892,0.399965,0.07114,116.323177,14.833596
0,"London System, with Be2",13,0.423666,0.155752,0.383035,0.07741,80.242172,15.926746
0,Neo-Grünfeld Defense: with Nf3,24,0.396506,0.188507,0.320509,0.051207,132.080866,33.330833
0,Nimzo-Indian Defense,21,0.420455,0.14335,0.272688,0.013207,75.158774,28.684242
0,Nimzo-Indian Defense: Classical Variation,10,0.608123,0.151307,0.336314,0.019322,23.81626,11.678434
0,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.585901,0.172902,0.339277,0.020024,40.732863,11.632695
0,Nimzo-Indian Defense: Three Knights Variation,30,0.398808,0.166694,0.326212,0.067083,184.940921,48.718731
0,Petrov's Defense: Italian Variation,20,0.409441,0.189999,0.314097,0.012347,171.019906,24.594656
0,Philidor Defense,51,0.358581,0.165313,0.3688,0.063277,410.664912,67.006097
0,Philidor Defense: Exchange Variation,20,0.469608,0.217913,0.372259,0.040539,153.052663,23.163618
0,Queen's Gambit Accepted,33,0.329972,0.154379,0.340622,0.036558,305.582543,40.516912
0,Queen's Gambit Accepted: Old Variation,34,0.426802,0.178105,0.377624,0.054529,266.765398,40.351444
0,Queen's Gambit Declined,38,0.418108,0.14187,0.336386,0.029532,223.428402,48.541262
0,Queen's Gambit Declined: Harrwitz Attack,34,0.500119,0.137358,0.334187,0.015322,66.872535,39.44284
0,Queen's Gambit Declined: Modern Variation,19,0.42944,0.168078,0.329033,0.019593,120.4147,22.827387
0,Queen's Gambit Declined: Ragozin Defense,39,0.393864,0.123425,0.329671,0.017334,177.569354,46.597633
0,Queen's Gambit Declined: Three Knights Variation,34,0.515906,0.127358,0.359526,0.014769,63.978109,36.819853
0,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.131313,0.097541,0.303791,0.005946,130.649513,11.032204
0,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.288064,0.1075,0.263161,0.008344,101.496915,19.747827
0,Queen's Pawn Game: Accelerated London System,98,0.299462,0.098931,0.320097,0.018738,492.588144,120.309382
0,Queen's Pawn Game: London System,35,0.316797,0.111905,0.323223,0.028665,228.368468,44.757004
