network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
48x5_20260605_lr1e-9,190,Bishop's Opening,35,0.274288,0.126593,0.352661,0.054265,283.276131,45.741233
48x5_20260605_lr1e-9,190,Bishop's Opening: Berlin Defense,28,0.335377,0.10383,0.308934,0.012975,167.930727,34.812974
48x5_20260605_lr1e-9,190,Bogo-Indian Defense: Exchange Variation,18,0.402582,0.071254,0.347724,0.024347,21.725017,20.703641
48x5_20260605_lr1e-9,190,Bogo-Indian Defense: Nimzowitsch Variation,18,0.284599,0.069924,0.301482,0.012573,92.004861,22.691327
48x5_20260605_lr1e-9,190,Catalan Opening: Closed,24,0.352359,0.038018,0.379432,0.059839,76.47578,27.006645
48x5_20260605_lr1e-9,190,Grünfeld Defense,10,0.37925,0.150575,0.346147,0.059713,61.738534,14.212191
48x5_20260605_lr1e-9,190,Grünfeld Defense: Exchange Variation,10,0.468139,0.115032,0.436404,0.082957,26.526001,10.904629
48x5_20260605_lr1e-9,190,Grünfeld Defense: Three Knights Variation,30,0.305661,0.108908,0.330739,0.060153,205.012008,42.197992
48x5_20260605_lr1e-9,190,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.234958,0.061262,0.377614,0.068151,99.36849,25.488274
48x5_20260605_lr1e-9,190,Indian Defense: Anti-Nimzo-Indian,22,0.306323,0.061218,0.274575,0.03745,110.407659,36.274228
48x5_20260605_lr1e-9,190,Indian Defense: London System,35,0.317278,0.073627,0.350224,0.05641,131.535872,45.473879
48x5_20260605_lr1e-9,190,Italian Game: Classical Variation,18,0.38464,0.094002,0.364866,0.031454,70.901625,20.864884
48x5_20260605_lr1e-9,190,"Italian Game: Classical Variation, Albin Gambit",16,0.34966,0.088427,0.380332,0.028566,86.142306,17.306238
48x5_20260605_lr1e-9,190,"Italian Game: Classical Variation, Center Attack",16,0.488502,0.122195,0.428088,0.023157,65.239937,14.92749
48x5_20260605_lr1e-9,190,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.342904,0.085315,0.346306,0.017855,160.580173,39.841182
48x5_20260605_lr1e-9,190,"Italian Game: Giuoco Pianissimo, Normal",27,0.324929,0.065389,0.349352,0.016064,115.797372,30.233633
48x5_20260605_lr1e-9,190,Italian Game: Giuoco Piano,22,0.36126,0.105541,0.369313,0.020547,125.796301,23.673696
48x5_20260605_lr1e-9,190,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.437843,0.165483,0.444001,0.080385,145.495307,30.973696
48x5_20260605_lr1e-9,190,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.303885,0.065595,0.299176,0.015923,125.052542,40.095809
48x5_20260605_lr1e-9,190,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.230124,0.080528,0.323835,0.020155,169.61977,27.153871
48x5_20260605_lr1e-9,190,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.355882,0.13259,0.372124,0.029836,145.615593,24.647432
48x5_20260605_lr1e-9,190,King's Indian Defense,10,0.352328,0.082746,0.405792,0.040393,45.010352,10.220564
48x5_20260605_lr1e-9,190,King's Indian Defense: Fianchetto Variation,22,0.293565,0.061095,0.441064,0.108347,112.280957,26.620346
48x5_20260605_lr1e-9,190,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.223604,0.058063,0.291299,0.054513,107.532205,25.066807
48x5_20260605_lr1e-9,190,King's Indian Defense: Four Pawns Attack,9,0.384101,0.083159,0.459675,0.05215,27.387356,8.295772
48x5_20260605_lr1e-9,190,King's Indian Defense: Normal Variation,10,0.353469,0.058004,0.400227,0.041976,28.340014,10.360807
48x5_20260605_lr1e-9,190,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.370281,0.114796,0.414267,0.048594,87.711434,18.514729
48x5_20260605_lr1e-9,190,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.394156,0.081599,0.43958,0.049356,60.249578,22.951681
48x5_20260605_lr1e-9,190,King's Indian Defense: Smyslov Variation,21,0.321018,0.102709,0.407008,0.054143,81.21644,22.122515
48x5_20260605_lr1e-9,190,London System,29,0.307958,0.088617,0.341028,0.051066,142.138623,39.710726
48x5_20260605_lr1e-9,190,"London System, with Bd3",13,0.314159,0.06928,0.399965,0.07114,66.215851,14.833596
48x5_20260605_lr1e-9,190,"London System, with Be2",13,0.31011,0.070742,0.383035,0.07741,66.621316,15.926746
48x5_20260605_lr1e-9,190,Neo-Grünfeld Defense: with Nf3,24,0.370149,0.115801,0.320509,0.051207,128.428545,33.330833
48x5_20260605_lr1e-9,190,Nimzo-Indian Defense,21,0.300411,0.037592,0.272688,0.013207,61.5231,28.684242
48x5_20260605_lr1e-9,190,Nimzo-Indian Defense: Classical Variation,10,0.240051,0.046783,0.336314,0.019322,48.516508,11.678434
48x5_20260605_lr1e-9,190,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.323384,0.052608,0.339277,0.020024,29.808145,11.632695
48x5_20260605_lr1e-9,190,Nimzo-Indian Defense: Three Knights Variation,30,0.296988,0.091759,0.326212,0.067083,127.37685,48.718731
48x5_20260605_lr1e-9,190,Petrov's Defense: Italian Variation,20,0.395503,0.138109,0.314097,0.012347,137.457843,24.594656
48x5_20260605_lr1e-9,190,Philidor Defense,51,0.303215,0.121754,0.3688,0.063277,352.35262,67.006097
48x5_20260605_lr1e-9,190,Philidor Defense: Exchange Variation,20,0.429752,0.084079,0.372259,0.040539,39.145562,23.163618
48x5_20260605_lr1e-9,190,Queen's Gambit Accepted,33,0.289277,0.090538,0.340622,0.036558,181.169596,40.516912
48x5_20260605_lr1e-9,190,Queen's Gambit Accepted: Old Variation,34,0.353011,0.110052,0.377624,0.054529,222.072711,40.351444
48x5_20260605_lr1e-9,190,Queen's Gambit Declined,38,0.302797,0.05268,0.336386,0.029532,180.490424,48.541262
48x5_20260605_lr1e-9,190,Queen's Gambit Declined: Harrwitz Attack,34,0.392976,0.014614,0.334187,0.015322,33.850181,39.44284
48x5_20260605_lr1e-9,190,Queen's Gambit Declined: Modern Variation,19,0.353032,0.022531,0.329033,0.019593,21.831467,22.827387
48x5_20260605_lr1e-9,190,Queen's Gambit Declined: Ragozin Defense,39,0.364408,0.016647,0.329671,0.017334,42.240664,46.597633
48x5_20260605_lr1e-9,190,Queen's Gambit Declined: Three Knights Variation,34,0.36639,0.01936,0.359526,0.014769,37.093004,36.819853
48x5_20260605_lr1e-9,190,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.15174,0.021781,0.303791,0.005946,49.73883,11.032204
48x5_20260605_lr1e-9,190,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.196044,0.033991,0.263161,0.008344,88.631564,19.747827
48x5_20260605_lr1e-9,190,Queen's Pawn Game: Accelerated London System,98,0.28918,0.052837,0.320097,0.018738,280.096314,120.309382
48x5_20260605_lr1e-9,190,Queen's Pawn Game: London System,35,0.289355,0.034262,0.323223,0.028665,98.488832,44.757004
48x5_20260605_lr1e-9,190,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.424602,0.057064,0.373112,0.028875,26.592832,10.892678
48x5_20260605_lr1e-9,190,Ruy Lopez: Exchange Variation,9,0.527336,0.113418,0.467343,0.036089,24.395607,7.637707
48x5_20260605_lr1e-9,190,"Ruy Lopez: Exchange Variation, Lutikov Variation",10,0.476348,0.084439,0.401795,0.027337,25.575635,10.063152
48x5_20260605_lr1e-9,190,"Ruy Lopez: Exchange Variation, Normal Variation",9,0.590828,0.087775,0.473418,0.034082,22.198383,7.458076
48x5_20260605_lr1e-9,190,Ruy Lopez: Morphy Defense,9,0.431745,0.07475,0.497945,0.022661,41.288265,6.825701
48x5_20260605_lr1e-9,190,"Ruy Lopez: Morphy Defense, Anderssen Variation",9,0.357671,0.083842,0.453968,0.026772,59.303481,7.823029
