step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll
0,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.341039,0.058921,0.339277,0.020024,2.891456
0,Nimzo-Indian Defense: Three Knights Variation,30,0.325675,0.107215,0.326212,0.067083,4.673446
0,Petrov's Defense: Italian Variation,20,0.385622,0.159718,0.314097,0.012347,6.180543
0,Philidor Defense,51,0.326091,0.14727,0.3688,0.063277,8.735772
0,Philidor Defense: Exchange Variation,20,0.454445,0.155556,0.372259,0.040539,5.980655
0,Queen's Gambit Accepted,33,0.30253,0.109073,0.340622,0.036558,8.274318
0,Queen's Gambit Accepted: Old Variation,34,0.365626,0.1051,0.377624,0.054529,6.44743
0,Queen's Gambit Declined,38,0.321985,0.05415,0.336386,0.029532,5.100096
0,Queen's Gambit Declined: Harrwitz Attack,34,0.386668,0.042962,0.334187,0.015322,1.570431
0,Queen's Gambit Declined: Modern Variation,19,0.271653,0.034218,0.329033,0.019593,5.616302
0,Queen's Gambit Declined: Ragozin Defense,39,0.339182,0.037366,0.329671,0.017334,1.66164
0,Queen's Gambit Declined: Three Knights Variation,34,0.318728,0.042638,0.359526,0.014769,1.802715
0,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.169192,0.039052,0.303791,0.005946,10.674435
0,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.360428,0.038955,0.263161,0.008344,3.42044
0,Queen's Pawn Game: Accelerated London System,98,0.273791,0.073252,0.320097,0.018738,5.339236
0,Queen's Pawn Game: London System,35,0.294696,0.059158,0.323223,0.028665,4.224653
0,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.38078,0.126164,0.373112,0.028875,4.540039
0,Ruy Lopez: Exchange Variation,9,0.550338,0.160591,0.467343,0.036089,4.507618
0,"Ruy Lopez: Exchange Variation, Lutikov Variation",10,0.395304,0.160851,0.401795,0.027337,7.740992
0,"Ruy Lopez: Exchange Variation, Normal Variation",9,0.575029,0.138291,0.473418,0.034082,2.627995
0,Ruy Lopez: Morphy Defense,9,0.694783,0.082098,0.497945,0.022661,0.519073
0,"Ruy Lopez: Morphy Defense, Anderssen Variation",9,0.694783,0.082098,0.453968,0.026772,0.519073
0,"Ruy Lopez: Morphy Defense, Caro Variation",10,0.595304,0.162729,0.460445,0.07087,4.056856
0,Ruy Lopez: Steinitz Defense,17,0.386663,0.138662,0.371974,0.05218,6.046661
0,Semi-Slav Defense,14,0.396861,0.075066,0.367238,0.0222,3.402375
0,Semi-Slav Defense: Accelerated Move Order,17,0.398366,0.108694,0.33232,0.02061,4.947621
0,Semi-Slav Defense: Main Line,17,0.413312,0.07112,0.323265,0.020431,3.885215
0,Sicilian Defense,10,0.39265,0.126735,0.479263,0.074454,4.457395
0,Sicilian Defense: Chekhover Variation,13,0.362919,0.100847,0.409734,0.052242,4.98711
0,Sicilian Defense: Closed,66,0.346869,0.128285,0.361892,0.055075,7.46064
