step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
0,Nimzo-Indian Defense: Classical Variation,10,0.608123,0.151307,0.336314,0.019322,23.81626,11.678434
0,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.585901,0.172902,0.339277,0.020024,40.732863,11.632695
0,Nimzo-Indian Defense: Three Knights Variation,30,0.395715,0.165618,0.326212,0.067083,200.115378,48.718731
0,Petrov's Defense: Italian Variation,20,0.409441,0.189999,0.314097,0.012347,171.019906,24.594656
0,Philidor Defense,51,0.363872,0.167622,0.3688,0.063277,410.190454,67.006097
0,Philidor Defense: Exchange Variation,20,0.469608,0.217913,0.372259,0.040539,153.052663,23.163618
0,Queen's Gambit Accepted,33,0.325857,0.15061,0.340622,0.036558,305.815407,40.516912
0,Queen's Gambit Accepted: Old Variation,34,0.427502,0.178432,0.377624,0.054529,266.72903,40.351444
0,Queen's Gambit Declined,38,0.429318,0.150408,0.336386,0.029532,222.68871,48.541262
0,Queen's Gambit Declined: Harrwitz Attack,34,0.502346,0.140844,0.334187,0.015322,67.106853,39.44284
0,Queen's Gambit Declined: Modern Variation,19,0.42944,0.168078,0.329033,0.019593,120.4147,22.827387
0,Queen's Gambit Declined: Ragozin Defense,39,0.400132,0.124239,0.329671,0.017334,162.126739,46.597633
0,Queen's Gambit Declined: Three Knights Variation,34,0.518454,0.130212,0.359526,0.014769,63.94819,36.819853
0,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.131313,0.097541,0.303791,0.005946,130.649513,11.032204
0,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.289301,0.107707,0.263161,0.008344,101.450395,19.747827
0,Queen's Pawn Game: Accelerated London System,98,0.30013,0.101971,0.320097,0.018738,507.973546,120.309382
0,Queen's Pawn Game: London System,35,0.315897,0.119252,0.323223,0.028665,245.374309,44.757004
