network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
256x20_20260617_lr1e-9,60,Bogo-Indian Defense: Exchange Variation,18,0.472694,0.106277,0.347724,0.024347,67.879075,20.703641
256x20_20260617_lr1e-9,60,Bogo-Indian Defense: Nimzowitsch Variation,18,0.480389,0.106582,0.301482,0.012573,67.514389,22.691327
256x20_20260617_lr1e-9,60,Catalan Opening: Closed,24,0.570401,0.078499,0.379432,0.059839,16.972601,27.006645
256x20_20260617_lr1e-9,60,Grünfeld Defense,10,0.457906,0.072472,0.346147,0.059713,25.986223,14.212191
256x20_20260617_lr1e-9,60,Grünfeld Defense: Exchange Variation,10,0.554573,0.064912,0.436404,0.082957,7.366236,10.904629
256x20_20260617_lr1e-9,60,Grünfeld Defense: Three Knights Variation,30,0.494981,0.130818,0.330739,0.060153,157.679946,42.197992
256x20_20260617_lr1e-9,60,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.509687,0.098123,0.377614,0.068151,50.613105,25.488274
256x20_20260617_lr1e-9,60,Indian Defense: Anti-Nimzo-Indian,22,0.42063,0.107215,0.274575,0.03745,89.382649,36.274228
256x20_20260617_lr1e-9,60,Indian Defense: London System,35,0.337578,0.101322,0.350224,0.05641,193.567714,45.473879
256x20_20260617_lr1e-9,60,Italian Game: Classical Variation,18,0.317779,0.072278,0.364866,0.031454,88.346085,20.864884
256x20_20260617_lr1e-9,60,"Italian Game: Classical Variation, Albin Gambit",16,0.41378,0.086154,0.380332,0.028566,49.526022,17.306238
256x20_20260617_lr1e-9,60,"Italian Game: Classical Variation, Center Attack",16,0.42831,0.103931,0.428088,0.023157,49.431039,14.92749
256x20_20260617_lr1e-9,60,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.431211,0.074685,0.346306,0.017855,67.555553,39.841182
256x20_20260617_lr1e-9,60,"Italian Game: Giuoco Pianissimo, Normal",27,0.439409,0.061657,0.349352,0.016064,58.094259,30.233633
256x20_20260617_lr1e-9,60,Italian Game: Giuoco Piano,22,0.385643,0.083361,0.369313,0.020547,90.037763,23.673696
256x20_20260617_lr1e-9,60,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.489533,0.170784,0.444001,0.080385,155.025491,30.973696
256x20_20260617_lr1e-9,60,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.445941,0.083266,0.299176,0.015923,63.959051,40.095809
256x20_20260617_lr1e-9,60,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.28356,0.11326,0.323835,0.020155,210.287533,27.153871
256x20_20260617_lr1e-9,60,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.28356,0.11326,0.372124,0.029836,210.287533,24.647432
256x20_20260617_lr1e-9,60,King's Indian Defense,10,0.495406,0.054956,0.405792,0.040393,24.232448,10.220564
256x20_20260617_lr1e-9,60,King's Indian Defense: Fianchetto Variation,22,0.564178,0.113854,0.441064,0.108347,66.256673,26.620346
256x20_20260617_lr1e-9,60,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.474447,0.093623,0.291299,0.054513,47.381536,25.066807
256x20_20260617_lr1e-9,60,King's Indian Defense: Four Pawns Attack,9,0.506139,0.047691,0.459675,0.05215,23.154455,8.295772
256x20_20260617_lr1e-9,60,King's Indian Defense: Normal Variation,10,0.526954,0.067229,0.400227,0.041976,23.742242,10.360807
256x20_20260617_lr1e-9,60,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.553873,0.08435,0.414267,0.048594,16.936902,18.514729
256x20_20260617_lr1e-9,60,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.553502,0.084708,0.43958,0.049356,50.852954,22.951681
256x20_20260617_lr1e-9,60,King's Indian Defense: Smyslov Variation,21,0.410984,0.101334,0.407008,0.054143,90.463823,22.122515
256x20_20260617_lr1e-9,60,London System,29,0.381578,0.136076,0.341028,0.051066,213.621816,39.710726
256x20_20260617_lr1e-9,60,"London System, with Bd3",13,0.376774,0.126229,0.399965,0.07114,80.765182,14.833596
256x20_20260617_lr1e-9,60,"London System, with Be2",13,0.410551,0.10707,0.383035,0.07741,46.958773,15.926746
256x20_20260617_lr1e-9,60,Neo-Grünfeld Defense: with Nf3,24,0.393887,0.104266,0.320509,0.051207,93.491849,33.330833
256x20_20260617_lr1e-9,60,Nimzo-Indian Defense,21,0.368908,0.071653,0.272688,0.013207,44.079675,28.684242
256x20_20260617_lr1e-9,60,Nimzo-Indian Defense: Classical Variation,10,0.486528,0.061023,0.336314,0.019322,24.874587,11.678434
256x20_20260617_lr1e-9,60,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.377437,0.062508,0.339277,0.020024,28.1663,11.632695
256x20_20260617_lr1e-9,60,Nimzo-Indian Defense: Three Knights Variation,30,0.331733,0.123361,0.326212,0.067083,173.822947,48.718731
256x20_20260617_lr1e-9,60,Petrov's Defense: Italian Variation,20,0.213766,0.08834,0.314097,0.012347,180.951704,24.594656
256x20_20260617_lr1e-9,60,Philidor Defense,51,0.277998,0.111612,0.3688,0.063277,433.871835,67.006097
256x20_20260617_lr1e-9,60,Philidor Defense: Exchange Variation,20,0.470261,0.159723,0.372259,0.040539,101.792028,23.163618
256x20_20260617_lr1e-9,60,Queen's Gambit Accepted,33,0.310866,0.11302,0.340622,0.036558,211.080742,40.516912
256x20_20260617_lr1e-9,60,Queen's Gambit Accepted: Old Variation,34,0.403409,0.140768,0.377624,0.054529,218.522763,40.351444
256x20_20260617_lr1e-9,60,Queen's Gambit Declined,38,0.403312,0.099063,0.336386,0.029532,159.567294,48.541262
256x20_20260617_lr1e-9,60,Queen's Gambit Declined: Harrwitz Attack,34,0.501709,0.065787,0.334187,0.015322,28.654584,39.44284
256x20_20260617_lr1e-9,60,Queen's Gambit Declined: Modern Variation,19,0.412472,0.095273,0.329033,0.019593,71.82693,22.827387
256x20_20260617_lr1e-9,60,Queen's Gambit Declined: Ragozin Defense,39,0.45287,0.07719,0.329671,0.017334,41.349835,46.597633
256x20_20260617_lr1e-9,60,Queen's Gambit Declined: Three Knights Variation,34,0.542697,0.054243,0.359526,0.014769,24.813227,36.819853
