step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
0,King's Indian Defense: Normal Variation,10,0.352923,0.050932,0.400227,0.041976,27.897332,10.360807
0,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.368051,0.10633,0.414267,0.048594,72.128717,18.514729
0,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.404271,0.074124,0.43958,0.049356,58.201196,22.951681
0,King's Indian Defense: Smyslov Variation,21,0.337282,0.096461,0.407008,0.054143,80.291623,22.122515
0,London System,29,0.306511,0.085279,0.341028,0.051066,154.377204,39.710726
0,"London System, with Bd3",13,0.278665,0.030256,0.399965,0.07114,50.067011,14.833596
0,"London System, with Be2",13,0.244888,0.03917,0.383035,0.07741,68.813114,15.926746
0,Neo-Grünfeld Defense: with Nf3,24,0.351983,0.125851,0.320509,0.051207,146.897498,33.330833
0,Nimzo-Indian Defense,21,0.300491,0.032142,0.272688,0.013207,45.452288,28.684242
0,Nimzo-Indian Defense: Classical Variation,10,0.288456,0.057953,0.336314,0.019322,46.368073,11.678434
0,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.323405,0.055008,0.339277,0.020024,44.886469,11.632695
0,Nimzo-Indian Defense: Three Knights Variation,30,0.324081,0.081251,0.326212,0.067083,106.239352,48.718731
0,Petrov's Defense: Italian Variation,20,0.366492,0.142744,0.314097,0.012347,124.450181,24.594656
0,Philidor Defense,51,0.292823,0.103419,0.3688,0.063277,334.775042,67.006097
0,Philidor Defense: Exchange Variation,20,0.403134,0.078604,0.372259,0.040539,55.796098,23.163618
0,Queen's Gambit Accepted,33,0.302489,0.105837,0.340622,0.036558,226.527948,40.516912
0,Queen's Gambit Accepted: Old Variation,34,0.375423,0.102619,0.377624,0.054529,141.567493,40.351444
0,Queen's Gambit Declined,38,0.299953,0.049745,0.336386,0.029532,149.758232,48.541262
0,Queen's Gambit Declined: Harrwitz Attack,34,0.396148,0.017674,0.334187,0.015322,33.538909,39.44284
0,Queen's Gambit Declined: Modern Variation,19,0.373207,0.026036,0.329033,0.019593,20.601957,22.827387
0,Queen's Gambit Declined: Ragozin Defense,39,0.379898,0.016603,0.329671,0.017334,39.992589,46.597633
0,Queen's Gambit Declined: Three Knights Variation,34,0.383274,0.019082,0.359526,0.014769,34.862077,36.819853
0,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.122896,0.027798,0.303791,0.005946,97.797136,11.032204
0,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.301972,0.060524,0.263161,0.008344,52.070002,19.747827
0,Queen's Pawn Game: Accelerated London System,98,0.295043,0.050198,0.320097,0.018738,364.664873,120.309382
0,Queen's Pawn Game: London System,35,0.311997,0.034243,0.323223,0.028665,49.416218,44.757004
